E:\WP110382\Peak Valley - Actual Test - ELF 6 03122018 024548_pvd.CSV ,,,,,,,,,,
,,,,,,,,,,
0 to -4mm @ 25Hz, 219k cycles block.,,,,,,,,,
,,,,,,,,,,
Created ,3/12/2018,2:45:49 PM,,,,,,,,
Exported,3/12/2018,4:01:19 PM,,,,,,,,
,,,,,,,,,,
Channels,,,,,,,,,,
Disp,Load 1,Load 2,Load 3,Load 4,Load 5,Load 6,Load 7,Load 8,Load 9,Load 10
,,,,,,,,,,
Units,,,,,,,,,,
mm,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,
Movers,,,,,,,,,,
Axial,Temp,,,,,,,,,
,,,,,,,,,,
Workspace Unsecure,,,,,,,,,,
,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,
****Waveform Information is written at start of Data Acquisition, not start of waveform.****,,,,,,,,,
,,,,,,,,,,
Axial,Sine Wave,Control Channel Disp_INV,Level1: 0.000000,Level2: -4.000000,Frequency: 25.000000,Cycles: 219000,Start Frequency: 1.000000,Done Frequency: 1.000000,Done Level: 1.000000,
Temp,Sine Wave,Control Channel Temperature,Level1: 0.0,Level2: 0.0,Frequency: 1.0,Cycles: 999999,Start Frequency: 1.0,Done Frequency: 1.0,Done Level: 0.0,
_______________________________________________________________________________________,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,
****Tuning Parameters.****,,,,,,,,,,
,,,,,,,,,,
Axial,Control Channel Disp_INV,TuneIQ Mode ,TuneIQ1: 0.8332277,TuneIQ2: 0.0028223,TuneIQ3: -4.3889998,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,,
Temp,Control Channel Temperature,TuneIQ Mode ,TuneIQ1: 0.0000000,TuneIQ2: 0.0001000,TuneIQ3: 0.0000000,TuneIQ4: 0.0000000,TuneIQ5: 0.0000000,TuneIQ6: 0.0000000,,
_______________________________________________________________________________________,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,
****Data Acquisition Setup****,,,,,,,,,,
,,,,,,,,,,
Peak Valley: ,Scan Points: 2,Number of Scans: 2147483647,First Scan Type: Mover Axial at Count 100,Subsequent Scan Type:  at Count 1,,,,,,
_______________________________________________________________________________________,,,,,,,,,,
,,,,,,,,,,
UserID:, username  ,,,,,,,,,
,,,,,,,,,,
Elapse Time  ,Axial Counts,Temp Counts,Load 1 ,Load 1 ,Load 3 ,Load 3 ,Load 4 ,Load 4 ,Load 5 ,Load 5 
Sec       ,         ,         ,N      ,N      ,N      ,N      ,N      ,N      ,N      ,N      
0,109601,0,0.057,-1.881,-0.013,-2.057,0.023,-1.84,0.082,-1.748
0.04,109602,0,0.057,-1.881,-0.013,-2.057,0.023,-1.84,0.082,-1.748
0.08,109603,0,0.057,-1.881,-0.013,-2.057,0.023,-1.84,0.082,-1.748
0.12,109604,0,0.057,-1.881,-0.013,-2.057,0.023,-1.84,0.082,-1.748
0.16,109605,0,0.057,-1.881,-0.013,-2.057,0.023,-1.84,0.082,-1.748
0.2,109606,0,0.057,-1.881,-0.013,-2.057,0.023,-1.84,0.082,-1.748
0.24,109607,0,0.057,-1.881,-0.013,-2.057,0.023,-1.84,0.082,-1.748
0.28,109608,0,0.057,-1.881,-0.013,-2.057,0.023,-1.84,0.082,-1.748
0.32,109609,0,0.056,-1.881,-0.021,-2.053,0.022,-1.884,0.09,-1.758
0.36,109610,0,0.052,-1.881,-0.009,-2.057,0.02,-1.87,0.081,-1.744
0.4,109611,0,0.059,-1.881,-0.018,-2.055,0.022,-1.859,0.094,-1.752
0.44,109612,0,0.059,-1.88,-0.022,-2.057,0.022,-1.851,0.099,-1.732
0.48,109613,0,0.059,-1.882,-0.013,-2.053,0.026,-1.873,0.116,-1.754
0.52,109614,0,0.059,-1.882,-0.021,-2.048,0.023,-1.858,0.111,-1.732
0.56,109615,0,0.059,-1.881,-0.018,-2.048,0.02,-1.873,0.101,-1.741
0.6,109616,0,0.056,-1.882,-0.015,-2.047,0.021,-1.871,0.099,-1.738
0.64,109617,0,0.057,-1.88,-0.015,-2.053,0.02,-1.873,0.09,-1.742
0.68,109618,0,0.057,-1.882,-0.022,-2.055,0.026,-1.859,0.085,-1.732
0.72,109619,0,0.06,-1.88,-0.015,-2.058,0.024,-1.853,0.089,-1.735
0.76,109620,0,0.056,-1.88,-0.02,-2.055,0.017,-1.854,0.09,-1.733
0.8,109621,0,0.06,-1.882,-0.023,-2.055,0.023,-1.86,0.09,-1.729
0.84,109622,0,0.066,-1.882,-0.021,-2.056,0.023,-1.873,0.094,-1.729
0.88,109623,0,0.062,-1.881,-0.027,-2.055,0.022,-1.869,0.094,-1.737
0.92,109624,0,0.062,-1.882,-0.017,-2.055,0.023,-1.871,0.1,-1.721
0.96,109625,0,0.066,-1.877,-0.015,-2.048,0.02,-1.868,0.106,-1.732
1,109626,0,0.063,-1.882,-0.026,-2.057,0.021,-1.867,0.096,-1.722
1.04,109627,0,0.059,-1.881,-0.015,-2.053,0.021,-1.869,0.099,-1.726
1.08,109628,0,0.063,-1.884,-0.026,-2.059,0.016,-1.868,0.104,-1.735
1.12,109629,0,0.067,-1.877,-0.015,-2.057,0.02,-1.868,0.099,-1.72
1.16,109630,0,0.066,-1.88,-0.02,-2.056,0.021,-1.865,0.104,-1.713
1.2,109631,0,0.062,-1.882,-0.01,-2.053,0.023,-1.869,0.087,-1.718
1.24,109632,0,0.06,-1.881,-0.01,-2.053,0.022,-1.868,0.088,-1.716
1.28,109633,0,0.067,-1.885,-0.01,-2.053,0.024,-1.869,0.092,-1.72
1.32,109634,0,0.063,-1.881,-0.009,-2.05,0.027,-1.868,0.094,-1.713
1.36,109635,0,0.066,-1.882,-0.011,-2.055,0.021,-1.868,0.099,-1.715
1.4,109636,0,0.067,-1.882,-0.02,-2.047,0.026,-1.869,0.099,-1.716
1.44,109637,0,0.066,-1.881,-0.017,-2.053,0.022,-1.871,0.095,-1.715
1.48,109638,0,0.067,-1.882,-0.015,-2.059,0.023,-1.869,0.098,-1.719
1.52,109639,0,0.067,-1.881,-0.018,-2.053,0.022,-1.871,0.095,-1.715
1.56,109640,0,0.067,-1.88,-0.017,-2.053,0.023,-1.869,0.104,-1.716
1.6,109641,0,0.067,-1.884,-0.011,-2.056,0.02,-1.869,0.096,-1.713
1.64,109642,0,0.068,-1.881,-0.011,-2.059,0.023,-1.874,0.099,-1.722
1.68,109643,0,0.067,-1.881,-0.015,-2.057,0.021,-1.87,0.098,-1.719
1.72,109644,0,0.068,-1.882,-0.02,-2.061,0.024,-1.873,0.095,-1.716
1.76,109645,0,0.071,-1.882,0,-2.056,0.026,-1.871,0.099,-1.719
1.8,109646,0,0.07,-1.881,-0.002,-2.057,0.028,-1.873,0.095,-1.716
1.84,109647,0,0.07,-1.88,0,-2.056,0.026,-1.868,0.09,-1.71
1.88,109648,0,0.07,-1.881,-0.002,-2.055,0.023,-1.871,0.085,-1.715
1.92,109649,0,0.068,-1.88,0.005,-2.055,0.026,-1.871,0.089,-1.718
1.96,109650,0,0.07,-1.881,-0.005,-2.056,0.026,-1.869,0.09,-1.709
2,109651,0,0.068,-1.881,-0.002,-2.055,0.029,-1.868,0.092,-1.71
2.04,109652,0,0.071,-1.881,-0.01,-2.056,0.026,-1.867,0.094,-1.715
2.08,109653,0,0.07,-1.88,-0.004,-2.056,0.026,-1.865,0.094,-1.715
2.12,109654,0,0.071,-1.881,-0.015,-2.05,0.028,-1.87,0.095,-1.715
2.16,109655,0,0.068,-1.88,-0.005,-2.055,0.027,-1.868,0.096,-1.709
2.2,109656,0,0.068,-1.881,-0.007,-2.056,0.028,-1.87,0.095,-1.716
2.24,109657,0,0.068,-1.881,-0.015,-2.062,0.024,-1.865,0.09,-1.71
2.28,109658,0,0.071,-1.884,-0.015,-2.059,0.024,-1.865,0.1,-1.713
2.32,109659,0,0.07,-1.882,-0.015,-2.062,0.029,-1.869,0.098,-1.716
2.36,109660,0,0.071,-1.881,-0.01,-2.046,0.024,-1.869,0.095,-1.71
2.4,109661,0,0.07,-1.88,-0.01,-2.046,0.028,-1.869,0.098,-1.709
2.44,109662,0,0.07,-1.88,-0.009,-2.056,0.028,-1.87,0.092,-1.713
2.48,109663,0,0.07,-1.882,-0.006,-2.056,0.024,-1.871,0.095,-1.715
2.52,109664,0,0.071,-1.882,-0.009,-2.057,0.027,-1.873,0.101,-1.721
